request_id,time,date,hour,minute,url,domain,path,query,status_code,status_type,method,mime_type,wait_ms
1,2025-11-25T14:43:01.215Z,2025-11-25,14,43,https://dem.shopee.com/dem/entrance/v1/apps/pc-promotion/tags/web-custom/event/json,dem.shopee.com,/dem/entrance/v1/apps/pc-promotion/tags/web-custom/event/json,,200,2xx,POST,application/json,121.67399994245172
2,2025-11-25T14:43:01.216Z,2025-11-25,14,43,https://dem.shopee.com/dem/entrance/v1/apps/pc-promotion/tags/web-performance/event/json,dem.shopee.com,/dem/entrance/v1/apps/pc-promotion/tags/web-performance/event/json,,200,2xx,POST,application/json,115.12100005058944
3,2025-11-25T14:43:01.377Z,2025-11-25,14,43,https://ubt.tracking.shopee.vn/v4/event_batch,ubt.tracking.shopee.vn,/v4/event_batch,,200,2xx,POST,image/gif,94.35899996036292
4,2025-11-25T14:43:01.379Z,2025-11-25,14,43,https://ubt.tracking.shopee.vn/v4/event_batch,ubt.tracking.shopee.vn,/v4/event_batch,,204,2xx,OPTIONS,x-unknown,45.61600000768899
5,2025-11-25T14:43:01.970Z,2025-11-25,14,43,https://down-vn.img.susercontent.com/file/sg-11134258-8226l-mhfocy0ufgnf81@resize_w1594_nl.webp,down-vn.img.susercontent.com,/file/sg-11134258-8226l-mhfocy0ufgnf81@resize_w1594_nl.webp,,200,2xx,GET,image/webp,37.83299996898323
6,2025-11-25T14:43:03.043Z,2025-11-25,14,43,https://shopee.vn/__t__,shopee.vn,/__t__,,200,2xx,POST,image/gif,51.489000006228686
7,2025-11-25T14:43:07.528Z,2025-11-25,14,43,https://down-vn.img.susercontent.com/file/sg-11134258-821d9-mhbl66yd8phn61@resize_w1594_nl.webp,down-vn.img.susercontent.com,/file/sg-11134258-821d9-mhbl66yd8phn61@resize_w1594_nl.webp,,200,2xx,GET,image/webp,35.71600005471706
8,2025-11-25T14:43:08.607Z,2025-11-25,14,43,https://shopee.vn/__t__,shopee.vn,/__t__,,200,2xx,POST,image/gif,52.47600005749613
9,2025-11-25T14:43:11.626Z,2025-11-25,14,43,https://ubt.tracking.shopee.vn/v4/event_batch,ubt.tracking.shopee.vn,/v4/event_batch,,200,2xx,POST,image/gif,48.00000003305823
10,2025-11-25T14:43:11.627Z,2025-11-25,14,43,https://ubt.tracking.shopee.vn/v4/event_batch,ubt.tracking.shopee.vn,/v4/event_batch,,204,2xx,OPTIONS,x-unknown,48.04099999108911
11,2025-11-25T14:43:13.036Z,2025-11-25,14,43,https://down-vn.img.susercontent.com/file/sg-11134258-82252-mhcpo4olcx7316@resize_w1594_nl.webp,down-vn.img.susercontent.com,/file/sg-11134258-82252-mhcpo4olcx7316@resize_w1594_nl.webp,,200,2xx,GET,image/webp,86.8360000026077
12,2025-11-25T14:43:14.116Z,2025-11-25,14,43,https://shopee.vn/__t__,shopee.vn,/__t__,,200,2xx,POST,image/gif,54.53900004384667
13,2025-11-25T14:43:18.561Z,2025-11-25,14,43,https://down-vn.img.susercontent.com/file/sg-11134258-821f3-mhbl68xnd8nea7@resize_w1594_nl.webp,down-vn.img.susercontent.com,/file/sg-11134258-821f3-mhbl68xnd8nea7@resize_w1594_nl.webp,,200,2xx,GET,image/webp,86.50999999760836
14,2025-11-25T14:43:19.641Z,2025-11-25,14,43,https://shopee.vn/__t__,shopee.vn,/__t__,,200,2xx,POST,image/gif,54.53500003285706
15,2025-11-25T14:43:21.839Z,2025-11-25,14,43,https://ubt.tracking.shopee.vn/v4/event_batch,ubt.tracking.shopee.vn,/v4/event_batch,,200,2xx,POST,image/gif,50.59599999578297
16,2025-11-25T14:43:21.840Z,2025-11-25,14,43,https://ubt.tracking.shopee.vn/v4/event_batch,ubt.tracking.shopee.vn,/v4/event_batch,,204,2xx,OPTIONS,x-unknown,50.77999996999651
17,2025-11-25T14:43:24.086Z,2025-11-25,14,43,https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mhcpjnp4zife53@resize_w1594_nl.webp,down-vn.img.susercontent.com,/file/vn-11134258-820l4-mhcpjnp4zife53@resize_w1594_nl.webp,,200,2xx,GET,image/webp,40.42499997603893
18,2025-11-25T14:43:25.163Z,2025-11-25,14,43,https://shopee.vn/__t__,shopee.vn,/__t__,,200,2xx,POST,image/gif,50.74600003864616
19,2025-11-25T14:43:26.011Z,2025-11-25,14,43,https://dem.shopee.com/dem/janus/v1/app-auth/login,dem.shopee.com,/dem/janus/v1/app-auth/login,,200,2xx,POST,application/json,35.3800000295341
20,2025-11-25T14:43:26.155Z,2025-11-25,14,43,https://dem.shopee.com/dem/entrance/v1/apps/pc-platform/tags/web-performance/event/json,dem.shopee.com,/dem/entrance/v1/apps/pc-platform/tags/web-performance/event/json,,200,2xx,POST,application/json,73.84999998349696
